fips	Elevation	Incidence	weight	Cancer	plot_type	name	population	lung	smoking	elevation	education	black	no_lung
30089	1.16545	59.4	101.128630960772	Lung	bivariate	Sanders, MT	10227	59.4	56.65	1.16545	15.6	0.3	398.2
30093	1.73005	59.2	186.026879778165	Lung	bivariate	Silver Bow, MT	34606	59.2	54.9	1.73005	22.9	0.3	357.3
30111	0.9978	69.2	359.655390617185	Lung	bivariate	Yellowstone, MT	129352	69.2	48.85	0.9978	29	0.8	438.5
32001	1.24885	82.6	154.861228201251	Lung	bivariate	Churchill, NV	23982	82.6	49.85	1.24885	18.2	1.9	404.2
32003	0.65514	71.3	500	Lung	bivariate	Clark, NV	1378009	71.3	48.3	0.65514	21.7	10	385.3
32005	1.64554	59.1	203.123115375872	Lung	bivariate	Douglas, NV	41259	59.1	51.65	1.64554	25.9	0.5	365.8
32007	1.75552	57.6	212.816822643324	Lung	bivariate	Elko, NV	45291	57.6	40.55	1.75552	15.8	0.8	301.9
32013	1.50769	56	126.9094165143	Lung	bivariate	Humboldt, NV	16106	56	40.9	1.50769	13.4	0.7	338.6
32019	1.45403	80.4	185.744448100071	Lung	bivariate	Lyon, NV	34501	80.4	57.15	1.45403	12.7	1	397.3
32031	1.46328	65.9	500	Lung	bivariate	Washoe, NV	339486	65.9	49.9	1.46328	26.7	2.6	367.6
35001	1.63461	44.2	500	Lung	bivariate	Bernalillo, NM	556678	44.2	46.7	1.63461	31.5	3.4	380
35005	1.1099	62.9	247.753910160869	Lung	bivariate	Chaves, NM	61382	62.9	44.05	1.1099	15.7	2.3	370.5
35007	2.133	32.7	119.117588961496	Lung	bivariate	Colfax, NM	14189	32.7	45.3	2.133	19.9	0.4	315.9
35009	1.30869	59	212.235718011837	Lung	bivariate	Curry, NM	45044	59	43.2	1.30869	18.2	7.9	333.9
35013	1.23261	43.5	417.949757746072	Lung	bivariate	Dona Ana, NM	174682	43.5	37.75	1.23261	25.4	2	343.8
35015	1.01084	63	227.283963358614	Lung	bivariate	Eddy, NM	51658	63	46.8	1.01084	15.1	1.9	377.9
35017	1.84299	39.7	187.701891306401	Lung	bivariate	Grant, NM	35232	39.7	43.5	1.84299	24.1	0.8	341.8
35025	1.12207	67.7	235.607724830915	Lung	bivariate	Lea, NM	55511	67.7	45.75	1.12207	12.9	4.8	349.3
35027	2.05568	39.7	139.323364874668	Lung	bivariate	Lincoln, NM	19411	39.7	49.15	2.05568	23.9	0.6	312.8
35028	2.16274	24.5	135.436331905438	Lung	bivariate	Los Alamos, NM	18343	24.5	44.5	2.16274	64	0.6	407.3
35029	1.32874	53	158.16447135814	Lung	bivariate	Luna, NM	25016	53	39.6	1.32874	13.5	1.2	351.7
35035	1.47471	58.3	249.595673039418	Lung	bivariate	Otero, NM	62298	58.3	46.65	1.47471	17.7	4.5	340.7
35037	1.26037	85.5	100.772019926168	Lung	bivariate	Quay, NM	10155	85.5	46.45	1.26037	14.8	1	378.7
35039	2.03226	27.5	202.953196574974	Lung	bivariate	Rio Arriba, NM	41190	27.5	49.2	2.03226	16.1	0.5	325.1
35041	1.23935	67.8	134.231143927183	Lung	bivariate	Roosevelt, NM	18018	67.8	40.05	1.23935	21.2	2	394.2
35043	1.69457	44.8	299.846627461441	Lung	bivariate	Sandoval, NM	89908	44.8	45.55	1.69457	28.4	2.2	395.6
35047	2.05931	38.5	173.568430309201	Lung	bivariate	San Miguel, NM	30126	38.5	43.4	2.05931	23.3	1.1	318.8
35049	2.04993	37.8	359.571967761671	Lung	bivariate	Santa Fe, NM	129292	37.8	44.8	2.04993	40	0.9	375.8
35051	1.47006	60.2	115.195486022674	Lung	bivariate	Sierra, NM	13270	60.2	50.7	1.47006	16.8	0.6	382.4
35053	1.61397	49	134.454453254624	Lung	bivariate	Socorro, NM	18078	49	40.85	1.61397	22.3	1	370.9
35055	2.39819	35.9	173.144448366097	Lung	bivariate	Taos, NM	29979	35.9	46.65	2.39819	30.1	0.6	356.3
35057	1.9708	55.2	130.042300810159	Lung	bivariate	Torrance, NM	16911	55.2	45.25	1.9708	14	2	359.7
35061	1.51823	57.1	257.21975040809	Lung	bivariate	Valencia, NM	66162	57.1	44.25	1.51823	16.8	1.6	385.1
41001	1.17598	65.8	129.387016350173	Lung	bivariate	Baker, OR	16741	65.8	53.3	1.17598	20.5	0.4	351.4
41003	0.1047	58	279.558580623096	Lung	bivariate	Benton, OR	78153	58	42.05	0.1047	47.9	1.2	421
41005	0.12243	58.6	500	Lung	bivariate	Clackamas, OR	338391	58.6	49.85	0.12243	31.4	1	398.5
41007	0.0806	75.4	188.759105740624	Lung	bivariate	Clatsop, OR	35630	75.4	52.7	0.0806	21.6	0.7	404.8
41009	0.12409	86.1	208.710325571113	Lung	bivariate	Columbia, OR	43560	86.1	55.65	0.12409	16.8	0.4	404.2
41011	0.07516	79.6	250.557378658063	Lung	bivariate	Coos, OR	62779	79.6	56.9	0.07516	18.3	0.6	391.3
41013	1.00498	68.9	138.499097469984	Lung	bivariate	Crook, OR	19182	68.9	54.35	1.00498	15.4	0.1	412.9
41015	0.14325	74.1	145.385693931693	Lung	bivariate	Curry, OR	21137	74.1	56.1	0.14325	18.5	0.3	389.2
41017	1.09946	58.5	339.657180109592	Lung	bivariate	Deschutes, OR	115367	58.5	52.65	1.09946	29.1	0.4	417.8
41019	0.26616	78.2	316.85801236516	Lung	bivariate	Douglas, OR	100399	78.2	56.95	0.26616	15.5	0.4	394.1
41027	0.36833	61.2	142.867071083578	Lung	bivariate	Hood River, OR	20411	61.2	44	0.36833	25.9	0.8	369.9
41029	0.52203	65	425.756972931742	Lung	bivariate	Jackson, OR	181269	65	52.6	0.52203	24.4	0.7	417.5
41031	0.80805	63.4	137.873130087048	Lung	bivariate	Jefferson, OR	19009	63.4	46.95	0.80805	15.9	0.5	372.3
41033	0.43704	78.1	275.183575091247	Lung	bivariate	Josephine, OR	75726	78.1	57.5	0.43704	16.5	0.5	406.6
41035	1.31484	72.6	252.537125983488	Lung	bivariate	Klamath, OR	63775	72.6	54	1.31484	18.1	1	381.7
41039	0.17643	65.2	500	Lung	bivariate	Lane, OR	322959	65.2	51.55	0.17643	27.7	1.3	387.7
41041	0.10697	73.9	210.900450449969	Lung	bivariate	Lincoln, OR	44479	73.9	56.55	0.10697	23.8	0.6	400.8
41043	0.14357	72.8	321.043610744709	Lung	bivariate	Linn, OR	103069	72.8	54.05	0.14357	16.3	0.5	396.6
41045	0.75439	57.1	177.806074136965	Lung	bivariate	Malheur, OR	31615	57.1	44.9	0.75439	13.8	1.4	359.3
41047	0.08907	65.6	500	Lung	bivariate	Marion, OR	284834	65.6	49.5	0.08907	20.9	1.3	416.7
41049	0.30439	73.3	104.857045542968	Lung	bivariate	Morrow, OR	10995	73.3	50.05	0.30439	11.5	0.3	375.3
41051	0.07789	71.7	500	Lung	bivariate	Multnomah, OR	660486	71.7	49.45	0.07789	37.5	6.8	405.6
41053	0.10471	55	249.759884689275	Lung	bivariate	Polk, OR	62380	55	45.45	0.10471	28.1	0.7	402.6
41057	0.17886	75.4	157.702251093635	Lung	bivariate	Tillamook, OR	24870	75.4	55.8	0.17886	20	0.4	364.5
41059	0.31283	56.6	265.608734796128	Lung	bivariate	Umatilla, OR	70548	56.6	48.3	0.31283	14.6	1.1	390.6
41061	0.95034	52.3	156.620560591514	Lung	bivariate	Union, OR	24530	52.3	50.35	0.95034	20.3	0.7	416.7
41065	0.27752	86.8	154.243314279744	Lung	bivariate	Wasco, OR	23791	86.8	52.05	0.27752	21.5	0.6	390.3
41067	0.07951	52.3	500	Lung	bivariate	Washington, OR	445342	52.3	44.15	0.07951	38.9	1.6	382.8
41071	0.08127	68.1	291.533874532618	Lung	bivariate	Yamhill, OR	84992	68.1	47.9	0.08127	23	1.1	407.9
49003	1.38951	24.6	206.748639656952	Lung	bivariate	Box Elder, UT	42745	24.6	38.4	1.38951	22.7	0.3	368.9
49005	1.43827	12	302.309444113147	Lung	bivariate	Cache, UT	91391	12	28.75	1.43827	35.1	0.6	385.8
49007	1.86423	40.5	142.90556322271	Lung	bivariate	Carbon, UT	20422	40.5	49.4	1.86423	14.2	0.5	365.8
49011	1.41133	21.1	488.870125902575	Lung	bivariate	Davis, UT	238994	21.1	35.5	1.41133	33.8	1.4	385.9
49013	1.80322	45.3	119.879105769104	Lung	bivariate	Duchesne, UT	14371	45.3	45.15	1.80322	16	0.3	437.2
49019	1.43217	39.5	109.238271681678	Lung	bivariate	Grand, UT	11933	39.5	48.7	1.43217	24.3	0.4	325.3
49021	1.86774	36	183.790641763937	Lung	bivariate	Iron, UT	33779	36	41.15	1.86774	28.2	0.5	394.1
49035	1.38006	30.9	500	Lung	bivariate	Salt Lake, UT	898387	30.9	37.7	1.38006	30.1	1.4	375.6
49039	1.98589	22.9	150.874119715742	Lung	bivariate	Sanpete, UT	22763	22.9	36.6	1.98589	18.7	0.4	375.6
49041	1.8541	39	137.266164804004	Lung	bivariate	Sevier, UT	18842	39	42.85	1.8541	16.9	0.3	418.7
49043	2.16598	18.9	172.441294358399	Lung	bivariate	Summit, UT	29736	18.9	34.95	2.16598	50.8	0.4	414.9
49045	1.4913	38.7	201.829135656872	Lung	bivariate	Tooele, UT	40735	38.7	39.45	1.4913	18.6	1.6	404.9
49047	1.72981	47	158.820653568735	Lung	bivariate	Uintah, UT	25224	47	46.4	1.72981	14.7	0.2	329.6
49049	1.47365	17	500	Lung	bivariate	Utah, UT	368536	17	28.25	1.47365	35.5	0.5	340.1
49051	1.92202	31.3	123.349098091555	Lung	bivariate	Wasatch, UT	15215	31.3	38.45	1.92202	31.1	0.3	359.1
49053	1.00458	32.1	300.589420971531	Lung	bivariate	Washington, UT	90354	32.1	42.1	1.00458	24	0.4	361
