fips	Elevation	Incidence	weight	Cancer
35009	1.30869	97.9	212.235718011837	Breast
35013	1.23261	103	417.949757746072	Breast
35015	1.01084	113.2	227.283963358614	Breast
35017	1.84299	109.7	187.701891306401	Breast
35025	1.12207	86.8	235.607724830915	Breast
35027	2.05568	91	139.323364874668	Breast
35028	2.16274	150	135.436331905438	Breast
35029	1.32874	90	158.16447135814	Breast
35035	1.47471	98.3	249.595673039418	Breast
35037	1.26037	85.2	100.772019926168	Breast
35039	2.03226	83.9	202.953196574974	Breast
35041	1.23935	82.4	134.231143927183	Breast
35043	1.69457	127.4	299.846627461441	Breast
35047	2.05931	92.8	173.568430309201	Breast
35049	2.04993	133.3	359.571967761671	Breast
35051	1.47006	97.2	115.195486022674	Breast
35053	1.61397	97.2	134.454453254624	Breast
35055	2.39819	132.3	173.144448366097	Breast
35057	1.9708	125.5	130.042300810159	Breast
35061	1.51823	109.6	257.21975040809	Breast
41001	1.17598	106.2	129.387016350173	Breast
41003	0.1047	140.2	279.558580623096	Breast
41005	0.12243	134.8	500	Breast
41007	0.0806	126.8	188.759105740624	Breast
41009	0.12409	135.9	208.710325571113	Breast
41011	0.07516	116.5	250.557378658063	Breast
41013	1.00498	116.9	138.499097469984	Breast
41015	0.14325	121.6	145.385693931693	Breast
41017	1.09946	127.3	339.657180109592	Breast
41019	0.26616	117.8	316.85801236516	Breast
41027	0.36833	130.7	142.867071083578	Breast
41029	0.52203	125.9	425.756972931742	Breast
41031	0.80805	125	137.873130087048	Breast
41033	0.43704	123.9	275.183575091247	Breast
41035	1.31484	110.7	252.537125983488	Breast
41039	0.17643	130.6	500	Breast
41041	0.10697	113.9	210.900450449969	Breast
41043	0.14357	127.9	321.043610744709	Breast
41045	0.75439	108.9	177.806074136965	Breast
41047	0.08907	126.9	500	Breast
41049	0.30439	112.3	104.857045542968	Breast
41051	0.07789	140.5	500	Breast
41053	0.10471	128.1	249.759884689275	Breast
41057	0.17886	128.8	157.702251093635	Breast
41059	0.31283	127.6	265.608734796128	Breast
41061	0.95034	122	156.620560591514	Breast
41065	0.27752	128.4	154.243314279744	Breast
41067	0.07951	138.1	500	Breast
41071	0.08127	143.2	291.533874532618	Breast
49003	1.38951	123.1	206.748639656952	Breast
49005	1.43827	120.2	302.309444113147	Breast
49007	1.86423	95.7	142.90556322271	Breast
49011	1.41133	110.6	488.870125902575	Breast
49013	1.80322	98.3	119.879105769104	Breast
49015	1.87928	125	104.211323760904	Breast
49019	1.43217	65	109.238271681678	Breast
49021	1.86774	91.6	183.790641763937	Breast
49027	1.58687	93.4	111.377735656638	Breast
49035	1.38006	114.7	500	Breast
49039	1.98589	84.6	150.874119715742	Breast
49041	1.8541	87.9	137.266164804004	Breast
49043	2.16598	136.1	172.441294358399	Breast
49045	1.4913	112.8	201.829135656872	Breast
49047	1.72981	89	158.820653568735	Breast
49049	1.47365	104	500	Breast
49051	1.92202	103.9	123.349098091555	Breast
49053	1.00458	97.8	300.589420971531	Breast
49057	1.38761	100.8	443.320425877265	Breast
53001	0.37034	100.5	128.171759760097	Breast
53003	0.37187	91.6	143.356199726416	Breast
53005	0.1679	132.9	377.458607002145	Breast
53007	0.48124	112.4	258.10075552001	Breast
53009	0.14544	130.6	256.353271873015	Breast
53011	0.08758	122.5	500	Breast
53015	0.08174	145.6	304.873744359858	Breast
53017	0.36223	120.4	180.563008393192	Breast
53021	0.15124	106	222.141846575561	Breast
53025	0.3723	109.7	273.309348541172	Breast
53027	0.06532	122.1	259.218054926735	Breast
53029	0.05718	126.5	267.503271008038	Breast
53031	0.04286	135.6	161.099348229594	Breast
53033	0.09375	141.7	500	Breast
53035	0.07513	126.1	481.631601953194	Breast
53037	0.63657	122.5	182.652675863235	Breast
53039	0.49813	82.6	138.423263940712	Breast
53041	0.19497	112.1	261.916017074176	Breast
53043	0.6689	55.6	100.915806492343	Breast
53045	0.07554	146.5	222.272355456094	Breast
53047	0.63894	101.3	198.907013451009	Breast
53049	0.0765	96	150.439356552732	Breast
53051	0.8434	122.2	108.314357312408	Breast
53053	0.10884	136	500	Breast
53055	0.05858	120	128.922457314465	Breast
53057	0.12677	131.1	325.339822339658	Breast
53061	0.10887	143.6	500	Breast
53063	0.63886	126.8	500	Breast
53065	0.72001	109.7	200.164931993594	Breast
53067	0.0679	139.1	455.362492965769	Breast
53071	0.29391	159.4	234.90423580685	Breast
53073	0.09604	143.5	408.428696347355	Breast
53077	0.34955	125.1	471.784908618324	Breast
56003	1.34189	104.5	107.056060080689	Breast
56005	1.38626	129.3	186.866262337534	Breast
56007	2.14516	101.2	125.055987461617	Breast
56009	1.55684	129.2	109.781601372908	Breast
56013	1.74152	90.4	191.436673602526	Breast
56015	1.29468	101.5	111.973211081937	Breast
56021	1.84803	133.5	285.669389329694	Breast
56023	2.03552	95.3	120.718681238655	Breast
56025	1.6222	130	257.939915484207	Breast
56029	1.6262	114.7	160.580198032011	Breast
56033	1.28398	100.4	162.972390299707	Breast
56037	1.95832	104.6	193.940712590214	Breast
56039	2.12341	139.7	135.096261976414	Breast
56041	2.11772	71.6	140.506227619988	Breast
04003	1.36983	34.8	343.154484161289	Colorectal
04007	1.30298	32.5	226.572284271488	Colorectal
04009	1.01521	38	183	Colorectal
04012	0.27589	34.5	140.410113595852	Colorectal
04013	0.38463	37.3	500	Colorectal
04015	0.57798	43	393.741031643897	Colorectal
04019	0.78219	35.4	500	Colorectal
04021	0.56683	35.9	423.94221304324	Colorectal
04023	1.21773	34.8	195.910693939866	Colorectal
04025	1.4198	38.2	409.28840687222	Colorectal
04027	0.06017	31.8	400.032498679795	Colorectal
06001	0.05279	45.1	500	Colorectal
06007	0.19901	40.4	450.744938962159	Colorectal
06013	0.07319	46.1	500	Colorectal
